dataFile&relax&Dual Bound&status&CPU (s)
Toy_wt4.1&1&67&Opt&5.63e-5
Toy_wt4.2&1&42&NonReal&5.04e-5
wt040_001&1&396&NonReal&2.04e-2
wt040_002&1&545&NonReal&1.99e-2
wt040_005&1&766&NonReal&2.10e-2
wt050_001&1&1050&NonReal&3.36e-2
wt050_002&1&1678&NonReal&3.15e-2
wt050_005&1&984&NonReal&3.28e-2
