dataFile&relax&Dual Bound&status&CPU (s)
Toy_wt4.1&2&67&Opt&2.26e-4
Toy_wt4.2&2&42&Opt&2.03e-4
wt040_001&2&396&NonReal&1.03e+0
wt040_002&2&545&NonReal&1.01e+0
wt040_005&2&766&NonReal&1.00e+0
wt050_001&2&1050&NonReal&2.21e+0
wt050_002&2&1678&NonReal&1.97e+0
wt050_005&2&984&NonReal&2.26e+0
